"Id","Trismegistos","EDR","PHI","EDCS"
"ISic002705","645125","","334802",""
"ISic002706","645126","","334519",""
"ISic002707","645127","","334792",""
"ISic002708","645128","","334497",""
"ISic002709","645129","","332692 334899",""
"ISic002710","645130","","",""
"ISic002711","645131","","333378",""
"ISic002712","645132","","333379",""
"ISic002713","645133","","333380",""
"ISic002714","645134","","333381",""
"ISic002715","645135","","333382",""
"ISic002716","645136","","333383",""
"ISic002717","645137","","333384",""
"ISic002718","645138","","333385",""
"ISic002719","645139","","333386",""
"ISic002720","645140","","333387",""
"ISic002721","645141","","333388",""
"ISic002722","645142","","333389",""
"ISic002723","645143","","178082 333153",""
"ISic002724","645144","","333199","70900863"
"ISic002725","645145","","334833","71000721"
"ISic002726","645146","","334613","71000722"
"ISic002727","645147","","333214","64400329"
"ISic002728","645148","","333215","64400335"
"ISic002729","645149","136559","333216","64400336"
"ISic002730","644830","","333217","64400339"
"ISic002731","644831","","333218","64400338"
"ISic002732","644832","","333219","64400337"
"ISic002733","644833","","333220","64400334"
"ISic002734","644834","","333221","64400333"
"ISic002735","644835","","333222",""
"ISic002736","644836","","333223","64400331"
"ISic002737","491403","","","3600028"
"ISic002738","644837","","",""
"ISic002739","284945","109724","333247","64400292"
"ISic002740","644838","","339995",""
"ISic002741","644839","","339996","64901072"
"ISic002742","644840","","333248",""
"ISic002743","644841","","336179","64901073"
"ISic002744","644842","","336178","64901074"
"ISic002745","644843","","331494 340005","64901086"
"ISic002746","644844","136614","332189","64400342"
"ISic002747","645150","","332962",""
"ISic002748","645151","","140355 336188",""
"ISic002749","645152","","330706 332957","65000037"
"ISic002750","645153","141112","332879","64901099"
"ISic002751","645154","141143","331799","65300226"
"ISic002752","645155","","332971",""
"ISic002753","175851","072907","329566 329567 329622 329623 331217 332862","16201127"
"ISic002754","645156","","333744 333745 331329 332317","71000508"
"ISic002756","645157","","332956","71000538"
"ISic002757","284751","","331213 332930","64600456"
"ISic002758","284750","","331214 332931","64600455"
"ISic002759","285035","","175483","64600165"
"ISic002760","284749","112490","316301 329961","64600457"
"ISic002761","285164","","329962","64600458"
"ISic002762","645159","","332952 336564",""
"ISic002763","645160","","332960 336565",""
"ISic002764","645161","","332966",""
"ISic002765","645162","","334102",""
"ISic002766","645163","","334112",""
"ISic002767","645164","","334116",""
"ISic002768","645165","","334143",""
"ISic002769","645166","","334197",""
"ISic002770","645167","","334203",""
"ISic002771","645168","","334202",""
"ISic002772","645169","","334211",""
"ISic002773","645170","","334208",""
"ISic002774","645171","","334213",""
"ISic002775","645172","","334218",""
"ISic002776","645173","","334410",""
"ISic002777","645174","","334225",""
"ISic002778","645175","","334227",""
"ISic002779","645176","","334232",""
"ISic002780","645177","","334236",""
"ISic002781","645178","","334240",""
"ISic002782","645179","","334241",""
"ISic002783","645180","","334243",""
"ISic002784","645181","","334247",""
"ISic002785","645182","","334254",""
"ISic002786","645183","","334258",""
"ISic002787","645184","","333204 334271",""
"ISic002788","645185","","334272",""
"ISic002789","645186","","334286",""
"ISic002790","645187","","334287",""
"ISic002791","645188","","334291",""
"ISic002792","645189","","334296",""
"ISic002793","645190","","334298",""
"ISic002794","645191","","334302",""
"ISic002795","645192","","334307",""
"ISic002796","645193","","334317",""
"ISic002797","645194","","334318",""
"ISic002798","645195","","334320",""
"ISic002799","645196","","334326",""
"ISic002800","645197","","334327",""
"ISic002801","645198","","334341",""
"ISic002802","645199","","334337",""
"ISic002803","645200","","334342",""
"ISic002804","645201","","334344",""
"ISic002805","645202","","334347",""
"ISic002806","645203","","334356",""
"ISic002807","645204","","334359",""
"ISic002808","645205","","334360",""
"ISic002809","645206","","334371",""
"ISic002810","645207","","334386",""
"ISic002811","645208","","334391",""
"ISic002812","645209","","334394",""
"ISic002813","645210","","334395",""
"ISic002814","645211","","334400",""
"ISic002815","645212","","334401",""
"ISic002816","171041","","",""
"ISic002817","645213","","334626",""
"ISic002818","645214","","334447",""
"ISic002819","645215","","334450",""
